iter	RMSE
0	74955.467
1	72922.36495
2	70861.77459
3	69023.18623
4	67205.63965
5	65529.34502
6	63926.38242
7	62509.14104
8	61062.83298
9	59528.17758
10	58023.2376
11	56760.16667
12	55589.59977
13	54392.05396
14	53231.1003
15	52146.16891
16	50962.85531
17	49963.79188
18	48961.18769
19	48153.5901
20	47174.52514
21	46303.12599
22	45428.56143
23	44737.07084
24	44034.72365
25	43377.8955
26	42711.2432
27	42142.84866
28	41535.36965
29	40987.13968
30	40355.47536
31	39917.16991
32	39372.61659
33	38882.59702
34	38417.22822
35	38076.21185
36	37585.48434
37	37232.76444
38	36845.09584
39	36547.03235
40	36198.04717
41	35857.25626
42	35541.42088
43	35245.0701
44	34943.29045
45	34597.48367
46	34362.11464
47	34128.68296
48	33866.06916
49	33587.35658
50	33340.61211
51	33128.37077
52	32902.31422
53	32571.57653
54	32350.9403
55	32184.99975
56	31968.01803
57	31786.20578
58	31537.82966
59	31364.97337
60	31167.37227
61	31010.55253
62	30895.94006
63	30746.04376
64	30561.37138
65	30367.42463
66	30108.83578
67	29945.91942
68	29809.78062
69	29649.50998
70	29530.086
71	29369.82061
72	29260.61465
73	29124.35988
74	29029.36991
75	28987.413
76	28897.60799
77	28798.90267
78	28771.85994
79	28652.07323
80	28556.35144
81	28449.76052
82	28319.50701
83	28175.64894
84	28013.09464
85	27891.77141
86	27745.1523
87	27666.91443
88	27607.6596
89	27503.354
90	27366.32174
91	27220.88638
92	27139.67191
93	27081.61649
94	26988.25949
95	26929.20438
96	26808.23869
97	26773.3679
98	26730.36926
99	26676.02972
100	26619.72137
101	26568.64571
102	26512.55511
103	26457.34756
104	26395.00284
105	26330.96468
106	26290.62024
107	26251.43019
108	26146.40377
109	26079.80861
110	26053.23039
111	26034.59124
112	25995.65797
113	25896.41942
114	25748.92329
115	25657.2067
116	25613.97709
117	25540.55316
118	25526.81298
119	25484.04625
120	25443.25356
121	25331.8745
122	25266.51054
123	25179.89562
124	25145.07429
125	25086.19346
126	25059.49234
127	25023.53809
128	24930.94796
129	24893.527
130	24799.81937
131	24734.90957
132	24652.55207
133	24583.74106
134	24543.8148
135	24469.40863
136	24433.11482
137	24354.41435
138	24296.69259
139	24264.93779
140	24228.29166
141	24171.05515
142	24086.78431
143	24004.65516
144	23936.6053
145	23876.92179
146	23835.63064
147	23797.65184
148	23742.79467
149	23722.59977
150	23670.41989
151	23612.85988
152	23561.96585
153	23509.37092
154	23455.64423
155	23412.89053
156	23348.59437
157	23297.33509
158	23283.92991
159	23234.75763
160	23183.88217
161	23142.24621
162	23103.89773
163	23056.93225
164	22996.65877
165	22940.8592
166	22896.9913
167	22860.43674
168	22806.32132
169	22753.12634
170	22688.24257
171	22635.92051
172	22597.44802
173	22532.99854
174	22483.791
175	22453.22625
176	22408.40189
177	22376.42954
178	22340.51926
179	22294.22036
180	22268.42134
181	22234.83069
182	22204.88659
183	22163.07708
184	22125.06696
185	22092.47128
186	22063.99844
187	22036.52188
188	22009.04512
189	21982.41624
190	21944.96443
191	21920.01245
192	21895.22306
193	21873.73858
194	21840.85518
195	21809.06265
196	21757.62069
197	21726.57166
198	21696.265
199	21654.41968
200	21600.61956
201	21559.61116
202	21529.03266
203	21505.63761
204	21485.5396
205	21452.06109
206	21423.60855
207	21405.96129
208	21379.07489
209	21344.7433
210	21324.09085
211	21272.22638
212	21244.58486
213	21204.16562
214	21175.12601
215	21158.29093
216	21126.25975
217	21095.15862
218	21063.01128
219	21043.49612
220	21002.21266
221	20951.38444
222	20932.55014
223	20889.54555
224	20860.92263
225	20842.58996
226	20802.56892
227	20766.97404
228	20753.94055
229	20726.89267
230	20702.72413
231	20691.33307
232	20655.1634
233	20639.6736
234	20612.36375
235	20572.63156
236	20550.0418
237	20522.79958
238	20497.28288
239	20483.16785
240	20449.18237
241	20405.33355
242	20371.69013
243	20355.34939
244	20332.20497
245	20316.39703
246	20281.65418
247	20257.08397
248	20241.61398
249	20211.1445
250	20183.0883
251	20161.94085
252	20141.40835
253	20107.8837
254	20076.90271
255	20058.51724
256	20037.59088
257	20022.82949
258	20004.01784
259	19984.54531
260	19963.82415
261	19934.07811
262	19914.98508
263	19897.07795
264	19883.82356
265	19869.71451
266	19856.04844
267	19824.26958
268	19802.65358
269	19784.94335
270	19770.90872
271	19759.17031
272	19742.48383
273	19726.36579
274	19700.0834
275	19682.10877
276	19660.25114
277	19628.09519
278	19605.02693
279	19593.63741
280	19581.34686
281	19561.04538
282	19542.20566
283	19523.16098
284	19507.31948
285	19492.19752
286	19470.51769
287	19444.16856
288	19432.7802
289	19424.19452
290	19413.74426
291	19390.49629
292	19361.13618
293	19332.86163
294	19322.95138
295	19302.04318
296	19287.26492
297	19270.12814
298	19258.54671
299	19244.17673
300	19224.63482
301	19198.21825
302	19183.20465
303	19171.41121
304	19147.4348
305	19133.11774
306	19110.63429
307	19096.15529
308	19079.42252
309	19059.28888
310	19049.28884
311	19032.01756
312	19011.24666
313	18997.09314
314	18979.36234
315	18965.76004
316	18948.2485
317	18934.49524
318	18924.71777
319	18906.35731
320	18894.39688
321	18867.78564
322	18855.04323
323	18840.20857
324	18823.53297
325	18805.27826
326	18795.50916
327	18779.48062
328	18752.16176
329	18732.51314
330	18716.48736
331	18690.12958
332	18674.43231
333	18662.62136
334	18652.76792
335	18630.21147
336	18620.91387
337	18607.05984
338	18595.22602
339	18566.75751
340	18553.90983
341	18533.56507
342	18510.51568
343	18498.74886
344	18488.3332
345	18473.83625
346	18454.91591
347	18440.08375
348	18422.74841
349	18419.72551
350	18401.50946
351	18391.2434
352	18371.4143
353	18363.33189
354	18352.60404
355	18339.75771
356	18330.1297
357	18313.18788
358	18298.74145
359	18286.80603
360	18278.57333
361	18265.81301
362	18242.97738
363	18237.61356
364	18223.20171
365	18215.45779
366	18198.03731
367	18177.41132
368	18165.67084
369	18156.34481
370	18152.24577
371	18139.01496
372	18132.98821
373	18126.17363
374	18105.00898
375	18086.33304
376	18073.55328
377	18065.29267
378	18049.92222
379	18034.62904
380	18025.812
381	18018.31596
382	18001.83726
383	17988.33075
384	17985.17657
385	17979.22479
386	17971.59091
387	17961.56413
388	17949.39471
389	17941.44715
390	17933.89454
391	17918.47492
392	17901.91022
393	17895.22178
394	17891.13172
395	17877.24671
396	17861.62683
397	17846.96838
398	17833.1099
399	17808.1165
400	17800.9779
401	17795.81281
402	17785.85401
403	17773.40285
404	17763.98657
405	17759.00986
406	17740.55631
407	17725.24083
408	17720.40002
409	17709.63112
410	17700.03571
411	17693.06232
412	17683.99379
413	17661.30826
414	17654.85148
415	17649.19215
416	17643.00445
417	17640.11543
418	17636.33946
419	17622.35591
420	17612.98838
421	17608.78912
422	17601.41379
423	17597.41112
424	17584.53198
425	17577.03542
426	17573.24981
427	17557.49357
428	17553.86258
429	17539.50951
430	17535.97257
431	17525.30607
432	17518.31941
433	17510.66228
434	17494.49137
435	17480.47561
436	17465.72446
437	17447.492
438	17432.97647
439	17420.0286
440	17401.75139
441	17384.97696
442	17373.03199
443	17361.45253
444	17344.50812
445	17326.61555
446	17318.76722
447	17315.52093
448	17305.06401
449	17294.97417
450	17281.45467
451	17260.8248
452	17254.49259
453	17243.31523
454	17235.79257
455	17228.30257
456	17216.9257
457	17200.18549
458	17192.61152
459	17184.42545
460	17173.54146
461	17163.76459
462	17154.62704
463	17144.82494
464	17136.18973
465	17123.04906
466	17103.4431
467	17092.18892
468	17089.2188
469	17072.17861
470	17069.29687
471	17053.35338
472	17050.56869
473	17044.37217
474	17041.72545
475	17029.95709
476	17027.38596
477	17009.48003
478	17003.36137
479	16990.06729
480	16978.31974
481	16957.04101
482	16946.29303
483	16936.52556
484	16925.52739
485	16914.12061
486	16905.4736
487	16889.97352
488	16879.99422
489	16869.36983
490	16860.27651
491	16845.62127
492	16826.41873
493	16816.3685
494	16811.90286
495	16802.85218
496	16785.49096
497	16774.24675
498	16765.14547
499	16749.80911
500	16748.56015
501	16739.84768
502	16717.31226
503	16700.47113
504	16691.80306
505	16689.2611
506	16678.90488
507	16666.3286
508	16657.19743
509	16647.81471
510	16641.06511
511	16625.96606
512	16616.40555
513	16608.16629
514	16587.54363
515	16579.60353
516	16566.98646
517	16558.70974
518	16549.9246
519	16541.9605
520	16530.9566
521	16528.76107
522	16526.29391
523	16511.33047
524	16505.32199
525	16500.9363
526	16488.30169
527	16482.57038
528	16472.4026
529	16456.74225
530	16454.67413
