iter	Passed	Remaining
0	140	140082
1	141	70781
2	143	47539
3	144	36088
4	146	29163
5	147	24463
6	148	21136
7	151	18757
8	152	16764
9	152	15125
10	153	13800
11	154	12719
12	155	11780
13	155	10977
14	156	10272
15	157	9664
16	157	9128
17	158	8648
18	159	8215
19	159	7820
20	160	7475
21	161	7188
22	162	6895
23	162	6622
24	163	6377
25	164	6158
26	165	5973
27	166	5776
28	167	5598
29	167	5427
30	168	5266
31	169	5112
32	169	4968
33	170	4832
34	170	4703
35	171	4583
36	171	4468
37	172	4359
38	172	4255
39	173	4155
40	173	4061
41	174	3972
42	174	3889
43	175	3808
44	175	3732
45	176	3658
46	177	3597
47	178	3534
48	178	3469
49	179	3406
50	180	3351
51	180	3295
52	181	3241
53	182	3190
54	182	3140
55	183	3090
56	183	3042
57	185	3005
58	185	2964
59	186	2921
60	187	2878
61	187	2838
62	188	2798
63	188	2758
64	189	2720
65	189	2683
66	190	2647
67	190	2613
68	191	2579
69	191	2549
70	192	2520
71	193	2493
72	194	2463
73	194	2437
74	195	2413
75	196	2390
76	197	2363
77	197	2337
78	198	2312
79	198	2288
80	199	2263
81	200	2240
82	200	2217
83	201	2194
84	201	2171
85	202	2150
86	202	2129
87	203	2108
88	204	2088
89	204	2068
90	205	2048
91	205	2031
92	206	2016
93	207	2000
94	208	1983
95	208	1966
96	209	1949
97	210	1935
98	211	1922
99	212	1908
100	212	1892
101	213	1877
102	213	1863
103	214	1849
104	215	1835
105	215	1821
106	216	1806
107	217	1794
108	217	1780
109	218	1767
110	219	1754
111	219	1743
112	220	1730
113	221	1719
114	221	1706
115	222	1694
116	222	1682
117	223	1670
118	224	1658
119	224	1647
120	225	1636
121	226	1627
122	226	1617
123	227	1606
124	227	1595
125	228	1584
126	228	1573
127	229	1562
128	229	1552
129	230	1542
130	231	1532
131	231	1523
132	232	1514
133	232	1504
134	234	1502
135	235	1494
136	236	1487
137	236	1478
138	237	1469
139	237	1461
140	238	1452
141	239	1444
142	239	1435
143	240	1427
144	240	1421
145	242	1416
146	242	1408
147	243	1401
148	243	1393
149	244	1385
150	245	1378
151	245	1370
152	246	1362
153	246	1355
154	247	1349
155	248	1344
156	249	1338
157	249	1331
158	250	1324
159	250	1316
160	251	1310
161	251	1302
162	252	1296
163	252	1289
164	253	1282
165	253	1275
166	254	1269
167	254	1262
168	255	1255
169	256	1250
170	256	1245
171	257	1239
172	258	1233
173	258	1227
174	259	1221
175	259	1215
176	260	1209
177	260	1202
178	261	1197
179	261	1191
180	262	1185
181	262	1180
182	263	1174
183	263	1169
184	264	1163
185	264	1158
186	265	1152
187	265	1147
188	266	1142
189	266	1136
190	267	1132
191	267	1127
192	268	1122
193	268	1117
194	269	1112
195	269	1107
196	270	1103
197	271	1099
198	272	1095
199	272	1090
200	273	1085
201	273	1081
202	274	1076
203	274	1071
204	275	1067
205	275	1063
206	276	1060
207	277	1057
208	278	1053
209	279	1049
210	279	1046
211	280	1042
212	281	1038
213	281	1034
214	282	1031
215	283	1027
216	283	1023
217	284	1019
218	284	1014
219	285	1011
220	286	1009
221	287	1005
222	287	1002
223	288	998
224	288	995
225	289	992
226	290	990
227	291	986
228	291	982
229	292	978
230	292	975
231	293	971
232	293	967
233	294	963
234	294	960
235	295	956
236	295	952
237	296	949
238	297	945
239	297	942
240	298	938
241	298	935
242	299	931
243	299	927
244	299	924
245	300	921
246	301	919
247	302	916
248	302	913
249	303	910
250	304	907
251	304	904
252	305	901
253	305	897
254	306	894
255	306	891
256	307	888
257	307	884
258	308	881
259	308	878
260	309	875
261	309	872
262	310	868
263	310	865
264	311	862
265	311	859
266	312	856
267	312	853
268	313	850
269	313	847
270	314	844
271	314	841
272	315	838
273	315	836
274	316	834
275	317	832
276	317	829
277	318	827
278	318	824
279	319	821
280	319	818
281	320	815
282	320	813
283	321	810
284	322	807
285	322	805
286	323	802
287	323	800
288	324	797
289	324	794
290	325	791
291	325	789
292	325	786
293	326	783
294	326	781
295	327	778
296	327	776
297	328	773
298	328	770
299	329	768
300	331	769
301	332	767
302	332	765
303	333	763
304	334	762
305	334	759
306	335	757
307	335	754
308	336	752
309	336	749
310	337	747
311	337	745
312	338	742
313	338	740
314	339	738
315	340	736
316	340	733
317	341	731
318	341	729
319	342	726
320	342	724
321	343	722
322	343	720
323	344	718
324	344	716
325	345	714
326	346	712
327	346	710
328	347	709
329	348	708
330	349	706
331	350	704
332	350	702
333	351	700
334	352	698
335	352	697
336	353	695
337	354	694
338	355	692
339	355	691
340	356	689
341	357	688
342	358	686
343	358	684
344	359	682
345	360	680
346	360	678
347	361	677
348	362	675
349	362	673
350	363	671
351	363	669
352	364	668
353	365	666
354	365	664
355	366	662
356	366	660
357	367	658
358	367	656
359	368	654
360	368	653
361	369	651
362	370	649
363	371	648
364	371	646
365	372	644
366	372	642
367	373	640
368	373	638
369	373	636
370	374	635
371	375	634
372	376	633
373	377	631
374	377	629
375	378	628
376	378	626
377	379	624
378	379	622
379	380	620
380	380	618
381	381	616
382	381	615
383	382	613
384	382	611
385	383	610
386	384	608
387	384	606
388	385	605
389	385	603
390	386	601
391	386	599
392	387	598
393	387	596
394	388	594
395	388	593
396	389	591
397	390	590
398	391	588
399	391	587
400	392	585
401	392	584
402	393	582
403	393	580
404	394	579
405	394	577
406	395	575
407	395	574
408	396	572
409	396	570
410	397	569
411	397	567
412	398	566
413	399	565
414	400	563
415	400	562
416	401	561
417	402	560
418	403	558
419	403	557
420	404	556
421	405	555
422	405	553
423	406	552
424	407	550
425	407	549
426	408	547
427	408	546
428	409	545
429	410	544
430	411	542
431	411	541
432	412	540
433	413	538
434	413	537
435	414	535
436	414	534
437	415	532
438	415	531
439	416	529
440	416	528
441	417	526
442	417	525
