Area,Bedrooms,Bathrooms,Floors,YearBuilt,Garage,Neighborhood,SalePrice
1360,1,3,1,1971,1,Suburban,176800
4272,5,2,3,1954,0,Suburban,342300
3592,3,2,1,1981,1,Rural,291400
966,3,2,1,1985,1,Urban,171300
4926,3,1,3,1963,1,Urban,357700
3944,4,2,1,1955,1,Urban,321200
3671,3,3,2,1952,0,Urban,306650
3419,1,2,2,1977,1,Suburban,271550
630,4,1,1,1950,0,Suburban,124000
2185,3,2,1,1951,1,Urban,222050
1269,3,1,2,2006,1,Rural,172750
2891,4,1,1,1988,0,Rural,243450
2933,2,1,2,2003,1,Urban,255050
1684,3,1,3,1998,1,Rural,196100
3885,2,2,2,2003,1,Suburban,312650
4617,5,1,3,2011,0,Rural,356650
3404,3,3,1,1979,1,Rural,296400
974,4,3,3,1976,1,Rural,194000
1582,4,3,2,1982,0,Suburban,216200
3058,5,3,3,1961,1,Urban,313700
2547,4,1,3,1982,1,Rural,244450
3247,1,3,2,1951,1,Suburban,270150
1475,2,2,2,1974,1,Rural,178450
2306,1,2,2,1960,0,Suburban,200800
689,3,2,1,1988,0,Urban,148350
3234,1,1,1,1964,1,Rural,233400
3505,2,2,2,1957,1,Suburban,279850
2399,5,2,1,1956,0,Suburban,239250
1767,5,2,1,2004,0,Rural,217050
2028,5,3,2,1976,0,Urban,251700
3702,5,3,3,1957,1,Rural,334700
4056,3,3,2,1994,1,Rural,338500
4390,4,2,1,1980,1,Urban,351000
1146,5,2,1,2005,0,Rural,186300
3388,1,2,2,2014,0,Rural,266100
2935,1,1,1,1956,0,Suburban,211050
1100,4,3,3,2011,0,Rural,200800
2863,2,3,3,1957,1,Suburban,267750
2561,2,3,1,2012,1,Suburban,259150
741,5,2,1,2020,0,Urban,180550
2541,1,3,1,1997,1,Suburban,243650
3324,4,2,1,1951,1,Suburban,284000
3112,2,2,3,2009,0,Rural,265800
1863,5,2,3,2015,1,Urban,255150
1978,5,1,2,1982,0,Rural,211000
3056,4,3,3,1972,0,Rural,286900
1275,1,2,1,2000,1,Suburban,166250
4514,2,1,2,1959,0,Rural,300900
534,2,1,1,1967,0,Rural,99300
3652,1,2,2,1997,0,Suburban,279200
2455,1,2,3,1968,0,Urban,220650
2085,5,2,2,2001,1,Rural,247050
4443,1,1,3,1951,1,Suburban,304950
3573,3,1,3,1984,1,Urban,296350
1521,4,2,3,1960,0,Suburban,196550
3961,4,2,1,1986,0,Rural,311350
3113,1,1,1,1953,0,Urban,224050
4343,4,3,1,2021,0,Urban,365950
2000,5,3,2,2013,1,Rural,261400
661,2,1,1,1986,0,Rural,111350
4797,2,3,3,1994,0,Urban,370550
2481,4,3,3,1959,1,Rural,264250
1495,1,3,3,1959,0,Suburban,179950
3842,4,3,1,1977,1,Suburban,332700
4298,3,3,1,1958,0,Suburban,329800
1775,5,2,3,1978,1,Rural,229650
1516,4,2,1,1965,1,Urban,202800
837,5,3,1,2019,0,Suburban,195050
1378,1,3,1,1955,0,Rural,157900
1576,1,2,3,2005,1,Urban,197800
4493,5,3,3,2002,0,Rural,377750
879,4,3,3,1981,1,Urban,200750
