LotArea,YearBuilt,1stFlrSF,2ndFlrSF,FullBath,BedroomAbvGr,TotRmsAbvGrd,SalePrice
12270,1920,1080,93,3,1,10,183630
5860,1943,1320,1431,1,2,10,326652
10390,1918,1747,1123,3,1,8,362935
18418,1970,623,243,2,2,4,122923
10191,2001,843,57,2,3,11,139621
16964,1907,1023,964,3,4,6,254257
16284,1976,1575,1380,2,5,7,359727
10734,2000,628,319,2,3,3,151042
11265,1965,1658,1042,1,1,11,334334
5466,1940,1156,356,3,4,3,214742
18526,1974,1650,116,2,5,9,264602
9426,1987,1237,1159,3,5,11,317246
10578,1969,1438,295,3,1,5,239492
19423,1960,570,524,2,5,4,154080
16636,1925,772,1124,2,5,10,249080
16363,1970,1710,1403,1,3,6,368335
16111,2020,1526,1178,1,3,3,316363
13322,2002,1808,1128,1,5,10,375019
6685,1982,521,1151,2,2,8,198983
5769,1969,665,400,1,1,8,132170
15583,2006,1833,738,3,2,6,335641
18803,1928,1374,528,1,2,8,256326
11949,2006,997,556,1,5,4,220133
7433,2002,933,549,1,1,8,186790
10311,1965,1257,1147,3,2,4,277277
10051,1918,733,359,3,3,8,144941
11420,1967,1336,63,2,3,11,220915
6184,1957,1162,764,1,1,9,250522
9555,1969,1224,773,3,2,6,261793
8385,2012,875,623,3,4,3,206665
17309,1956,1229,101,3,4,11,213423
11396,1936,1769,560,2,1,3,306239
18035,1960,802,1300,2,1,7,242329
16096,1991,904,1250,2,4,9,264716
13666,1929,1207,1046,1,2,8,281314
14274,1970,1416,843,3,2,5,292918
7558,1972,520,1087,2,5,10,204021
12849,1924,756,1180,2,1,9,248004
7047,1996,898,1413,3,2,11,287624
7747,1964,550,1172,3,4,3,221386
14167,2014,946,838,1,4,10,221394
14998,1905,1793,1386,1,3,6,360450
5189,1917,1326,680,1,2,9,261858
7734,1909,1094,1487,2,5,9,342988
8005,1991,1317,644,2,5,6,259853
9658,1910,1135,398,3,1,10,232254
6899,1996,1785,404,1,3,3,260825
12734,1964,1888,825,3,4,7,341224
6267,1976,1572,1155,1,4,6,338059
6528,2000,1641,1220,1,1,6,344297
16394,1983,1976,646,1,5,5,326664
8556,1964,1274,34,1,5,3,188148
8890,1951,1472,419,3,4,7,254165
13838,1966,896,376,3,1,10,184296
19356,1981,1182,1422,2,2,8,319528
16080,2004,1550,219,1,3,3,246416
19502,1977,1210,696,3,5,7,250014
10393,1930,1895,341,1,5,8,303475
15627,1990,1620,752,1,5,11,320077
13792,1916,1028,415,2,2,11,225743
15555,1954,1184,1479,2,2,7,335175
15253,2009,1112,1320,3,3,5,306278
13433,1992,685,937,3,5,8,202470
15233,1935,1195,1354,2,4,10,325621
16016,2000,714,1006,3,5,7,241396
12513,1925,1774,679,3,3,10,313894
7612,1952,715,1362,2,3,3,238345
12041,1916,528,747,1,4,10,193240
14555,1985,601,805,1,2,4,184115
11235,1924,622,1321,2,4,9,231505
10486,1901,553,311,1,3,4,119725
12099,2018,1806,54,1,4,5,249012
14670,1985,1640,693,2,5,7,320965
15748,1904,1115,533,3,3,9,245748
5775,1903,1056,104,2,2,11,178146
17206,1935,613,1198,2,2,7,213320
13226,1905,1354,293,1,4,3,210528
19541,2015,1175,879,2,4,5,242798
8152,1920,1476,550,1,4,7,247541
15147,1976,1200,910,2,5,5,296990
6585,2017,1816,374,3,2,10,293262
8943,2000,1718,449,1,3,10,282095
12555,2018,791,1468,2,3,3,265361
8073,1988,760,1083,1,2,10,231627
6021,1925,1730,1415,2,4,6,387291
16653,1954,1063,811,2,1,8,228315
15805,1938,548,389,2,4,10,161827
18417,1983,1529,1235,1,2,4,319417
8843,1932,878,666,1,5,10,194869
12989,1913,1917,1263,3,4,9,387569
14692,1955,723,1145,3,3,6,237135
17990,1999,1546,1276,3,5,7,366354
19737,1980,1507,140,3,2,8,239845
11873,1920,1156,1475,2,1,5,322022
10675,1945,609,873,1,4,4,172792
5161,1915,1223,1176,2,5,4,310517
9297,2009,1052,1331,1,5,6,296319
15173,1915,1922,1340,1,3,9,393441
5995,2019,1695,1319,2,4,3,355832
19605,1983,1505,842,2,1,3,274563
18103,1928,1197,1368,1,5,6,317775
16534,1991,1225,596,3,3,11,253292
17743,1907,805,1305,3,4,7,249927
12629,1987,1458,1231,1,4,3,318052
16990,1902,1453,951,2,1,5,288200
14467,1988,1674,551,2,3,8,302800
6016,1918,1951,1119,1,1,5,367501
12869,1996,1120,1475,2,5,8,318665
11439,1965,1990,372,1,2,8,295086
12892,1978,1129,647,1,2,7,227869
11863,1985,1376,1096,1,1,7,290367
12916,1973,1055,332,2,1,11,180261
13529,1981,566,392,3,2,5,141641
5878,1921,1679,1129,1,5,9,351608
14268,1945,1334,1124,2,1,6,295632
9887,2012,705,1382,3,5,4,261500
17185,1990,1285,1352,1,5,5,324875
19552,1912,654,394,3,3,5,138776
9859,1932,1597,34,2,5,5,221781
11331,1904,1572,156,3,4,5,256000
13571,1989,1282,903,3,2,8,292279
13684,1976,1990,1296,2,2,8,420764
12208,1926,1084,966,1,1,11,264605
10276,2020,1207,395,2,1,10,224387
7062,1977,678,206,2,3,9,138095
17076,1923,1571,620,1,3,4,257551
5064,1966,1595,1329,1,4,4,356106
13006,2010,612,804,2,1,3,172029
7568,2014,1256,461,1,2,9,208866
10463,1962,1396,251,1,4,9,233426
18440,2012,1320,1290,2,1,3,317610
7027,1993,658,866,2,4,8,195522
7695,1998,1285,208,2,5,9,214268
14687,1947,1553,954,2,5,3,316437
10258,1962,1620,538,3,4,8,282301
10618,1977,750,834,3,1,11,211931
11736,1911,1615,502,1,5,3,272289
5391,1927,612,955,3,5,4,214965
18986,1943,758,513,3,4,4,177158
17706,1992,606,579,3,5,5,175896
19624,1942,1074,1171,1,2,6,266919
17666,1916,1913,839,3,5,9,362907
10892,1939,1490,985,2,4,5,312870
8561,1948,1881,82,2,5,9,252227
15470,1984,1722,1065,1,5,7,340395
11184,1956,926,155,1,3,7,165954
8099,1986,1358,452,1,4,9,222903
11278,1983,1417,1307,3,4,9,349685
13392,1963,1643,1211,1,3,9,364116
19151,1974,1832,616,1,3,11,328813
18067,1956,1126,623,1,2,3,222745
8104,2020,974,1497,2,5,3,314886
12215,1997,1051,506,1,1,5,206932
17790,1973,843,1156,2,1,8,241921
7454,1973,1127,1294,2,3,4,298818
16837,2006,635,621,1,4,11,163460
19039,1969,776,1096,1,4,3,235464
13996,1999,530,1459,3,2,7,243797
19434,1987,746,292,1,1,9,155497
7731,1975,910,654,1,4,5,204343
19183,1942,526,936,1,2,4,185693
15965,2018,572,756,1,2,5,166673
13154,1922,1620,1460,1,3,9,369877
14762,1926,1172,995,1,1,3,257226
10056,1957,1869,666,3,2,10,316569
19948,2020,975,59,3,2,5,152869
13110,2008,1823,326,1,2,7,271907
18773,1936,1822,1205,3,1,7,357356
15882,1905,786,798,2,3,8,202141
8840,1964,1972,784,3,5,9,350067
6028,1905,711,766,2,4,3,174502
12385,1949,1599,1457,1,1,8,355836
5502,1921,900,518,2,1,4,185847
11910,2004,1154,637,1,1,5,205210
17685,1987,1557,82,3,5,7,238573
14062,1924,997,27,2,4,3,152322
11938,1978,1347,265,2,4,9,227015
9488,1989,1851,1306,2,2,3,383101
5206,1971,597,396,1,2,10,173339
10134,1950,865,961,1,3,8,246413
10977,1987,962,762,3,1,3,209242
12721,1947,527,979,3,3,9,193479
12035,2001,1212,1406,1,1,5,299395
6484,1969,1909,810,3,4,9,360257
12858,2017,772,580,2,3,10,190057
5863,1998,1325,1342,2,4,5,325692
7790,2005,1650,610,2,2,7,289983
12408,1964,701,192,3,4,4,139092
13755,1959,1810,226,2,5,4,275442
10116,1945,949,450,2,3,3,193260
17383,1935,1611,1205,1,1,5,335313
11019,1957,1841,931,1,4,6,332064
6757,1975,518,1350,3,3,5,240419
19820,1937,1630,654,1,1,10,299913
12574,1910,1981,202,3,3,3,286449
11374,1911,810,401,3,3,7,178388
11892,1941,911,471,1,5,9,189751
6678,2013,1241,889,1,4,11,269060
8242,1938,1123,178,3,5,3,182023
9636,1970,1231,1041,3,2,11,288959
6059,1910,1134,462,3,3,11,242705
11668,1935,997,834,2,4,6,236300
18471,1951,743,608,2,2,7,171786
14914,1930,1189,925,1,2,8,259765
16506,1932,1076,1426,2,5,6,315363
8157,1912,1903,1416,2,2,8,416490
10915,1917,1014,935,3,1,7,252596
15817,1940,706,299,2,1,5,137376
15921,1957,1447,350,1,1,5,243908
19892,1955,893,186,2,2,11,161563
14789,1923,1544,1370,2,3,7,352461
16252,1972,1866,622,2,4,5,306589
7693,1930,1217,1432,1,1,10,311120
18083,1954,701,70,1,1,10,107525
18339,2004,619,1350,3,1,5,224231
18931,1909,888,1235,2,5,9,272246
8627,1959,733,308,3,5,11,165832
14555,1901,1101,1131,3,1,5,285263
15173,2001,1843,176,1,1,10,269809
10450,1914,1211,426,3,5,3,230843
6663,1902,1481,739,2,4,5,288360
14721,1942,1703,530,3,3,6,282562
15230,1930,1356,417,1,4,5,229388
10592,1969,1891,247,1,3,11,291842
16494,1966,575,208,1,2,7,97375
15429,1955,1148,215,2,2,5,167602
12392,1962,1149,712,3,4,5,247951
18696,1974,995,437,2,5,4,193650
18688,1914,1724,310,1,1,8,227052
6306,2008,1329,382,2,2,11,217729
17221,2015,1869,980,1,5,9,350495
11776,1991,982,1294,2,5,4,285250
15867,1909,1742,120,2,3,11,257070
18260,1937,1583,406,3,2,5,273050
10864,1946,1490,244,3,4,9,240957
14474,1956,1118,65,1,5,9,173102
12526,1949,1049,941,3,4,6,282112
